Site,Latitude,Longitude,Depth,Date_Deploy,Date_Retrieve,Duration_Exposure,Cage_ID,Compartment,Species,Test_Diameter,Test_Height,Whole_Weight,Test_Weight,Gonad_Weight,Gut_WW,Gut_DW,Lantern_Weight,Gonad_Index,Gut_Index,Drained_Weight,Kelp_WW_Start,Kelp_WW_End,Consumption_Rate,resid,Mean_Logger_Temp,Mean_Nitrogen,month,year,Time,dayofyear,daylength
Fortescue Bay,-43.1399,147.9676,4,14/12/2022,21/12/2022,7,6,9,Heliocidaris erythrogramma,119,58,538.1,223,52.8,49.3,NA,11.4,9.812302546,9.161865824,336.5,7.44,5.25,0.221,-0.135156424,14.80857595,1.35,12,2022,19.34,348,15.33412416
Fortescue Bay,-43.1399,147.9676,4,14/12/2022,21/12/2022,7,6,10,Heliocidaris erythrogramma,93,47,251.4,120.2,39.9,16.8,NA,7,15.87112172,6.682577566,183.9,7.61,5.83,0.162428571,-0.082426762,14.80857595,1.35,12,2022,19.34,348,15.33412416
Fortescue Bay,-43.1399,147.9676,4,14/12/2022,21/12/2022,7,6,12,Heliocidaris erythrogramma,100,44,243.5,120.1,31,17,NA,7.5,12.73100616,6.981519507,175.6,9.47,5.95,0.411,0.170814397,14.80857595,1.35,12,2022,19.34,348,15.33412416
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,1,3,Heliocidaris erythrogramma,93,44,281.4,115,15.3,9.6,NA,7.6,5.437100213,3.411513859,147.5,22.15,22.44,-0.056857143,-0.318200245,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,1,4,Heliocidaris erythrogramma,84,37,206.9,86.2,15.4,16,NA,5.6,7.44320928,7.733204447,123.2,22.71,17.81,0.684571429,0.468208287,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,1,7,Heliocidaris erythrogramma,99,42,345.2,134.3,26.1,34.5,NA,6.9,7.560834299,9.994206257,201.8,19.1,8.38,1.516,1.224769842,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,1,8,Heliocidaris erythrogramma,86,39,231.7,95.2,13.5,18.6,NA,6.2,5.826499784,8.027621925,133.5,19.32,11.93,1.040285714,0.807365186,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,1,9,Heliocidaris erythrogramma,90,42,227.7,100.3,19.1,9.5,NA,6.9,8.388230127,4.172156346,135.8,20.65,20.8,-0.036857143,-0.267230693,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,2,1,Heliocidaris erythrogramma,89,44,223.2,108,15.3,13,NA,7.5,6.85483871,5.82437276,143.8,20.68,17.63,0.420285714,0.192831553,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,2,5,Heliocidaris erythrogramma,103,58,359.4,155.4,32.5,33.3,NA,7.2,9.042849193,9.265442404,228.4,15.65,14.4,0.163142857,-0.133983197,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,2,7,Heliocidaris erythrogramma,91,54,271,151.8,21.9,19.2,NA,6.9,8.081180812,7.084870849,199.8,14.88,13.98,0.113142857,-0.14269247,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,2,11,Heliocidaris erythrogramma,87,47,196,112,17.3,17.1,NA,6.3,8.826530612,8.724489796,152.7,17.68,14.97,0.371714286,0.163266683,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,2,12,Heliocidaris erythrogramma,92,46,212.3,119.6,20.3,17.3,NA,6.8,9.56194065,8.148845973,164,19.07,18.08,0.126,-0.094131409,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,3,2,Heliocidaris erythrogramma,79,37,158.6,69.5,9,8.5,NA,3.7,5.674653216,5.359394704,90.7,17.53,17.53,-0.015428571,-0.192909374,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,3,3,Heliocidaris erythrogramma,112,56,503.2,180.4,14,34.9,NA,11.9,2.782193959,6.935612083,241.2,13.75,10.14,0.500285714,0.153936772,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,3,9,Heliocidaris erythrogramma,90,47,309,128.1,27.2,24.1,NA,6.9,8.802588997,7.799352751,186.3,14.61,14.08,0.060285714,-0.214741754,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,3,10,Heliocidaris erythrogramma,70,37,124.5,62.6,12,12.2,NA,3.1,9.638554217,9.799196787,89.9,13.31,12.95,0.036,-0.106075081,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,3,12,Heliocidaris erythrogramma,98,42,288.5,119.9,13,10.4,NA,5.8,4.506065858,3.604852686,149.1,17.17,17.1,-0.005428571,-0.270416086,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,4,3,Heliocidaris erythrogramma,86,41,232.7,108.9,22.3,22.5,NA,4.9,9.583154276,9.669101848,158.6,18.06,14.51,0.491714286,0.258163884,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,4,5,Heliocidaris erythrogramma,84,36,213.2,96.5,17.2,10.8,NA,6,8.067542214,5.065666041,130.5,15.74,15.63,0.000285714,-0.220464407,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,4,7,Heliocidaris erythrogramma,78,39,168,73.1,9.2,11.5,NA,4,5.476190476,6.845238095,97.8,17.69,13.23,0.621714286,0.435812227,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,4,10,Heliocidaris erythrogramma,102,43,363.9,150.7,41.4,21.4,NA,7.3,11.37675185,5.880736466,220.8,19.28,17.68,0.213142857,-0.085803086,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,4,11,Heliocidaris erythrogramma,76,37,141.7,68.5,8.6,12.7,NA,4.8,6.069160198,8.962597036,94.6,15.12,13.19,0.260285714,0.099284098,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,5,1,Heliocidaris erythrogramma,76,44,114,74.9,7.2,9.3,NA,3.1,6.315789474,8.157894737,94.5,16,16.08,-0.026857143,-0.156045961,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,5,2,Heliocidaris erythrogramma,85,43,198.5,87.6,11,8.4,NA,4,5.541561713,4.231738035,111,16.69,16.31,0.038857143,-0.171444179,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,5,7,Heliocidaris erythrogramma,97,38,304.3,141.6,23.5,38.8,NA,8,7.722642129,12.75057509,211.9,18.65,15.49,0.436,0.163214238,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,5,8,Heliocidaris erythrogramma,87,42,210.5,99.8,9.8,13.9,NA,5,4.655581948,6.603325416,128.5,17.99,16.11,0.253142857,0.034256781,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,5,11,Heliocidaris erythrogramma,89,45,257.5,112.9,15.9,15.6,NA,6,6.174757282,6.058252427,150.4,21.27,21.54,-0.054,-0.30236175,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,6,2,Heliocidaris erythrogramma,84,38,218.8,98.8,10,15.1,NA,5.2,4.570383912,6.901279707,129.1,22.54,22.09,0.048857143,-0.175685027,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,6,3,Heliocidaris erythrogramma,89,40,252.7,110.4,19.7,12,NA,6.9,7.795805303,4.74871389,149,21.76,23.03,-0.196857143,-0.442466826,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,6,6,Heliocidaris erythrogramma,93,42,279.8,119.6,10.1,12,NA,8.1,3.609721229,4.288777698,149.8,21.13,19.13,0.270285714,0.009776579,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,6,11,Heliocidaris erythrogramma,85,48,234,104.7,26.3,14.9,NA,5.2,11.23931624,6.367521368,151.1,13.52,13.1,0.044571429,-0.189793775,17.2298251,0.968,3,2023,19.436,79,12.21197289
Fortescue Bay,-43.1399,147.9676,4,20/03/2023,27/03/2023,7,6,12,Heliocidaris erythrogramma,84,44,255.7,111,13.6,13.8,NA,7.5,5.31873289,5.39694955,145.9,14.42,13.66,0.093142857,-0.154192927,17.2298251,0.968,3,2023,19.436,79,12.21197289
