datetime,temp,month,year
2021-09-08,12.224,09,2021
2021-09-08,12.213,09,2021
2021-09-08,12.181,09,2021
2021-09-08,12.192,09,2021
2021-09-08,12.202,09,2021
2021-09-08,12.213,09,2021
2021-09-08,12.213,09,2021
2021-09-08,12.288,09,2021
2021-09-08,12.395,09,2021
2021-09-08,12.503,09,2021
2021-09-08,12.664,09,2021
2021-09-08,12.717,09,2021
2021-09-08,12.782,09,2021
2021-09-08,12.792,09,2021
2021-09-08,12.76,09,2021
2021-09-08,12.814,09,2021
2021-09-08,12.792,09,2021
2021-09-08,12.739,09,2021
2021-09-08,12.739,09,2021
2021-09-08,12.664,09,2021
2021-09-08,12.642,09,2021
2021-09-08,12.61,09,2021
2021-09-09,12.61,09,2021
2021-09-09,12.546,09,2021
2021-09-09,12.492,09,2021
2021-09-09,12.481,09,2021
2021-09-09,12.471,09,2021
2021-09-09,12.449,09,2021
2021-09-09,12.417,09,2021
2021-09-09,12.438,09,2021
2021-09-09,12.449,09,2021
2021-09-09,12.503,09,2021
2021-09-09,12.599,09,2021
2021-09-09,12.621,09,2021
2021-09-09,12.642,09,2021
2021-09-09,12.631,09,2021
2021-09-09,12.642,09,2021
2021-09-09,12.631,09,2021
2021-09-09,12.599,09,2021
2021-09-09,12.556,09,2021
2021-09-09,12.556,09,2021
2021-09-09,12.535,09,2021
2021-09-09,12.503,09,2021
2021-09-09,12.492,09,2021
2021-09-09,12.428,09,2021
2021-09-09,12.428,09,2021
2021-09-10,12.342,09,2021
2021-09-10,12.288,09,2021
2021-09-10,12.256,09,2021
2021-09-10,12.192,09,2021
2021-09-10,12.084,09,2021
2021-09-10,12.074,09,2021
2021-09-10,12.031,09,2021
2021-09-10,11.999,09,2021
2021-09-10,11.924,09,2021
2021-09-10,12.063,09,2021
2021-09-10,12.17,09,2021
2021-09-10,12.32,09,2021
2021-09-10,12.395,09,2021
2021-09-10,12.449,09,2021
2021-09-10,12.471,09,2021
2021-09-10,12.492,09,2021
2021-09-10,12.513,09,2021
2021-09-10,12.503,09,2021
2021-09-10,12.481,09,2021
2021-09-10,12.46,09,2021
2021-09-10,12.46,09,2021
2021-09-10,12.46,09,2021
2021-09-10,12.428,09,2021
2021-09-10,12.395,09,2021
2021-09-11,12.385,09,2021
2021-09-11,12.363,09,2021
2021-09-11,12.342,09,2021
2021-09-11,12.342,09,2021
2021-09-11,12.353,09,2021
2021-09-11,12.363,09,2021
2021-09-11,12.331,09,2021
2021-09-11,12.331,09,2021
2021-09-11,12.31,09,2021
2021-09-11,12.32,09,2021
2021-09-11,12.342,09,2021
2021-09-11,12.406,09,2021
2021-09-11,12.524,09,2021
2021-09-11,12.556,09,2021
2021-09-11,12.513,09,2021
2021-09-11,12.524,09,2021
2021-09-11,12.588,09,2021
2021-09-11,12.588,09,2021
2021-09-11,12.61,09,2021
2021-09-11,12.567,09,2021
2021-09-11,12.567,09,2021
2021-09-11,12.556,09,2021
2021-09-11,12.524,09,2021
2021-09-11,12.471,09,2021
2021-09-12,12.449,09,2021
2021-09-12,12.417,09,2021
2021-09-12,12.395,09,2021
2021-09-12,12.363,09,2021
2021-09-12,12.342,09,2021
2021-09-12,12.288,09,2021
2021-09-12,12.277,09,2021
2021-09-12,12.256,09,2021
2021-09-12,12.213,09,2021
2021-09-12,12.31,09,2021
2021-09-12,12.374,09,2021
2021-09-12,12.449,09,2021
2021-09-12,12.524,09,2021
2021-09-12,12.631,09,2021
2021-09-12,12.588,09,2021
2021-09-12,12.599,09,2021
2021-09-12,12.588,09,2021
2021-09-12,12.567,09,2021
2021-09-12,12.524,09,2021
2021-09-12,12.503,09,2021
2021-09-12,12.492,09,2021
2021-09-12,12.481,09,2021
2021-09-12,12.471,09,2021
2021-09-12,12.406,09,2021
2021-09-13,12.417,09,2021
2021-09-13,12.428,09,2021
2021-09-13,12.428,09,2021
2021-09-13,12.428,09,2021
2021-09-13,12.417,09,2021
2021-09-13,12.417,09,2021
2021-09-13,12.417,09,2021
2021-09-13,12.342,09,2021
2021-09-13,12.353,09,2021
2021-09-13,12.32,09,2021
2021-09-13,12.385,09,2021
2021-09-13,12.406,09,2021
2021-09-13,12.438,09,2021
2021-09-13,12.481,09,2021
2021-09-13,12.438,09,2021
2021-09-13,12.449,09,2021
2021-09-13,12.428,09,2021
2021-09-13,12.428,09,2021
2021-09-13,12.417,09,2021
2021-09-13,12.395,09,2021
2021-09-13,12.395,09,2021
2021-09-13,12.363,09,2021
2021-09-13,12.363,09,2021
2021-09-13,12.342,09,2021
2021-09-14,12.31,09,2021
2021-09-14,12.299,09,2021
2021-09-14,12.31,09,2021
2021-09-14,12.374,09,2021
2021-09-14,12.342,09,2021
2021-09-14,12.342,09,2021
2021-09-14,12.331,09,2021
2021-09-14,12.342,09,2021
2021-09-14,12.331,09,2021
2021-09-14,12.395,09,2021
2021-09-14,12.492,09,2021
2021-09-14,12.578,09,2021
2021-09-14,12.567,09,2021
2021-09-14,12.567,09,2021
2021-09-14,12.599,09,2021
2021-09-14,12.578,09,2021
2021-09-14,12.653,09,2021
2021-09-14,12.685,09,2021
2021-09-14,12.674,09,2021
2021-09-14,12.631,09,2021
2021-09-14,12.631,09,2021
2021-09-14,12.599,09,2021
2021-09-14,12.621,09,2021
2021-09-14,12.61,09,2021
2021-09-15,12.588,09,2021
2021-09-15,12.567,09,2021
2021-09-15,12.513,09,2021
2021-09-15,12.503,09,2021
2021-09-15,12.503,09,2021
2021-09-15,12.503,09,2021
2021-09-15,12.492,09,2021
2021-09-15,12.46,09,2021
