"","Datetime","Site","Temp","Longitude","Latitude"
"84",2023-02-08 04:59:53,"Sawtell",24.41,153.108782,-30.375104
"85",2023-02-08 05:09:53,"Sawtell",24.36,153.108782,-30.375104
"86",2023-02-08 05:19:53,"Sawtell",24.41,153.108782,-30.375104
"87",2023-02-08 05:29:53,"Sawtell",24.36,153.108782,-30.375104
"88",2023-02-08 05:39:53,"Sawtell",24.54,153.108782,-30.375104
"89",2023-02-08 05:49:53,"Sawtell",24.58,153.108782,-30.375104
"90",2023-02-08 05:59:53,"Sawtell",24.62,153.108782,-30.375104
"91",2023-02-08 06:09:53,"Sawtell",24.71,153.108782,-30.375104
"92",2023-02-08 06:19:53,"Sawtell",24.62,153.108782,-30.375104
"93",2023-02-08 06:29:53,"Sawtell",24.66,153.108782,-30.375104
"94",2023-02-08 06:39:53,"Sawtell",24.66,153.108782,-30.375104
"95",2023-02-08 06:49:53,"Sawtell",24.71,153.108782,-30.375104
"96",2023-02-08 06:59:53,"Sawtell",24.71,153.108782,-30.375104
"97",2023-02-08 07:09:53,"Sawtell",24.71,153.108782,-30.375104
"98",2023-02-08 07:19:53,"Sawtell",24.75,153.108782,-30.375104
"99",2023-02-08 07:29:53,"Sawtell",24.75,153.108782,-30.375104
"100",2023-02-08 07:39:53,"Sawtell",24.75,153.108782,-30.375104
"101",2023-02-08 07:49:53,"Sawtell",24.79,153.108782,-30.375104
"102",2023-02-08 07:59:53,"Sawtell",24.75,153.108782,-30.375104
"103",2023-02-08 08:09:53,"Sawtell",24.79,153.108782,-30.375104
"104",2023-02-08 08:19:53,"Sawtell",24.84,153.108782,-30.375104
"105",2023-02-08 08:29:53,"Sawtell",24.84,153.108782,-30.375104
"106",2023-02-08 08:39:53,"Sawtell",24.84,153.108782,-30.375104
"107",2023-02-08 08:49:53,"Sawtell",24.84,153.108782,-30.375104
"108",2023-02-08 08:59:53,"Sawtell",24.79,153.108782,-30.375104
"109",2023-02-08 09:09:53,"Sawtell",24.84,153.108782,-30.375104
"110",2023-02-08 09:19:53,"Sawtell",24.88,153.108782,-30.375104
"111",2023-02-08 09:29:53,"Sawtell",24.88,153.108782,-30.375104
"112",2023-02-08 09:39:53,"Sawtell",24.88,153.108782,-30.375104
"113",2023-02-08 09:49:53,"Sawtell",24.88,153.108782,-30.375104
"114",2023-02-08 09:59:53,"Sawtell",24.92,153.108782,-30.375104
"115",2023-02-08 10:09:53,"Sawtell",24.88,153.108782,-30.375104
"116",2023-02-08 10:19:53,"Sawtell",24.84,153.108782,-30.375104
"117",2023-02-08 10:29:53,"Sawtell",24.79,153.108782,-30.375104
"118",2023-02-08 10:39:53,"Sawtell",24.88,153.108782,-30.375104
"119",2023-02-08 10:49:53,"Sawtell",24.88,153.108782,-30.375104
"120",2023-02-08 10:59:53,"Sawtell",24.88,153.108782,-30.375104
"121",2023-02-08 11:09:53,"Sawtell",24.84,153.108782,-30.375104
"122",2023-02-08 11:19:53,"Sawtell",24.97,153.108782,-30.375104
"123",2023-02-08 11:29:53,"Sawtell",24.92,153.108782,-30.375104
"124",2023-02-08 11:39:53,"Sawtell",24.97,153.108782,-30.375104
"125",2023-02-08 11:49:53,"Sawtell",24.84,153.108782,-30.375104
"126",2023-02-08 11:59:53,"Sawtell",24.84,153.108782,-30.375104
"127",2023-02-08 12:09:53,"Sawtell",24.88,153.108782,-30.375104
"128",2023-02-08 12:19:53,"Sawtell",24.88,153.108782,-30.375104
"129",2023-02-08 12:29:53,"Sawtell",24.88,153.108782,-30.375104
"130",2023-02-08 12:39:53,"Sawtell",24.88,153.108782,-30.375104
"131",2023-02-08 12:49:53,"Sawtell",24.92,153.108782,-30.375104
"132",2023-02-08 12:59:53,"Sawtell",24.88,153.108782,-30.375104
"133",2023-02-08 13:09:53,"Sawtell",24.88,153.108782,-30.375104
"134",2023-02-08 13:19:53,"Sawtell",24.92,153.108782,-30.375104
"135",2023-02-08 13:29:53,"Sawtell",24.92,153.108782,-30.375104
"136",2023-02-08 13:39:53,"Sawtell",25.05,153.108782,-30.375104
"137",2023-02-08 13:49:53,"Sawtell",25.05,153.108782,-30.375104
"138",2023-02-08 13:59:53,"Sawtell",25.01,153.108782,-30.375104
"139",2023-02-08 14:09:53,"Sawtell",25.05,153.108782,-30.375104
"140",2023-02-08 14:19:53,"Sawtell",25.05,153.108782,-30.375104
"141",2023-02-08 14:29:53,"Sawtell",25.18,153.108782,-30.375104
"142",2023-02-08 14:39:53,"Sawtell",25.18,153.108782,-30.375104
"143",2023-02-08 14:49:53,"Sawtell",25.27,153.108782,-30.375104
"144",2023-02-08 14:59:53,"Sawtell",25.27,153.108782,-30.375104
"145",2023-02-08 15:09:53,"Sawtell",25.27,153.108782,-30.375104
"146",2023-02-08 15:19:53,"Sawtell",25.27,153.108782,-30.375104
"147",2023-02-08 15:29:53,"Sawtell",25.27,153.108782,-30.375104
"148",2023-02-08 15:39:53,"Sawtell",25.31,153.108782,-30.375104
"149",2023-02-08 15:49:53,"Sawtell",25.27,153.108782,-30.375104
"150",2023-02-08 15:59:53,"Sawtell",25.39,153.108782,-30.375104
"151",2023-02-08 16:09:53,"Sawtell",25.44,153.108782,-30.375104
"152",2023-02-08 16:19:53,"Sawtell",25.39,153.108782,-30.375104
"153",2023-02-08 16:29:53,"Sawtell",25.44,153.108782,-30.375104
"154",2023-02-08 16:39:53,"Sawtell",25.39,153.108782,-30.375104
"155",2023-02-08 16:49:53,"Sawtell",25.44,153.108782,-30.375104
"156",2023-02-08 16:59:53,"Sawtell",25.44,153.108782,-30.375104
"157",2023-02-08 17:09:53,"Sawtell",25.39,153.108782,-30.375104
"158",2023-02-08 17:19:53,"Sawtell",25.44,153.108782,-30.375104
"159",2023-02-08 17:29:53,"Sawtell",25.48,153.108782,-30.375104
"160",2023-02-08 17:39:53,"Sawtell",25.44,153.108782,-30.375104
"161",2023-02-08 17:49:53,"Sawtell",25.44,153.108782,-30.375104
"162",2023-02-08 17:59:53,"Sawtell",25.44,153.108782,-30.375104
"163",2023-02-08 18:09:53,"Sawtell",25.44,153.108782,-30.375104
"164",2023-02-08 18:19:53,"Sawtell",25.44,153.108782,-30.375104
"165",2023-02-08 18:29:53,"Sawtell",25.39,153.108782,-30.375104
"166",2023-02-08 18:39:53,"Sawtell",25.39,153.108782,-30.375104
"167",2023-02-08 18:49:53,"Sawtell",25.35,153.108782,-30.375104
"168",2023-02-08 18:59:53,"Sawtell",25.35,153.108782,-30.375104
"169",2023-02-08 19:09:53,"Sawtell",25.35,153.108782,-30.375104
"170",2023-02-08 19:19:53,"Sawtell",25.31,153.108782,-30.375104
"171",2023-02-08 19:29:53,"Sawtell",25.31,153.108782,-30.375104
"172",2023-02-08 19:39:53,"Sawtell",25.35,153.108782,-30.375104
"173",2023-02-08 19:49:53,"Sawtell",25.31,153.108782,-30.375104
"174",2023-02-08 19:59:53,"Sawtell",25.39,153.108782,-30.375104
"175",2023-02-08 20:09:53,"Sawtell",25.35,153.108782,-30.375104
"176",2023-02-08 20:19:53,"Sawtell",25.31,153.108782,-30.375104
"177",2023-02-08 20:29:53,"Sawtell",25.31,153.108782,-30.375104
"178",2023-02-08 20:39:53,"Sawtell",25.35,153.108782,-30.375104
"179",2023-02-08 20:49:53,"Sawtell",25.35,153.108782,-30.375104
"180",2023-02-08 20:59:53,"Sawtell",25.35,153.108782,-30.375104
"181",2023-02-08 21:09:53,"Sawtell",25.35,153.108782,-30.375104
"182",2023-02-08 21:19:53,"Sawtell",25.35,153.108782,-30.375104
"183",2023-02-08 21:29:53,"Sawtell",25.35,153.108782,-30.375104
"184",2023-02-08 21:39:53,"Sawtell",25.31,153.108782,-30.375104
"185",2023-02-08 21:49:53,"Sawtell",25.35,153.108782,-30.375104
"186",2023-02-08 21:59:53,"Sawtell",25.31,153.108782,-30.375104
"187",2023-02-08 22:09:53,"Sawtell",25.35,153.108782,-30.375104
"188",2023-02-08 22:19:53,"Sawtell",25.35,153.108782,-30.375104
"189",2023-02-08 22:29:53,"Sawtell",25.35,153.108782,-30.375104
"190",2023-02-08 22:39:53,"Sawtell",25.35,153.108782,-30.375104
"191",2023-02-08 22:49:53,"Sawtell",25.31,153.108782,-30.375104
"192",2023-02-08 22:59:53,"Sawtell",25.39,153.108782,-30.375104
"193",2023-02-08 23:09:53,"Sawtell",25.39,153.108782,-30.375104
"194",2023-02-08 23:19:53,"Sawtell",25.31,153.108782,-30.375104
"195",2023-02-08 23:29:53,"Sawtell",25.39,153.108782,-30.375104
"196",2023-02-08 23:39:53,"Sawtell",25.39,153.108782,-30.375104
"197",2023-02-08 23:49:53,"Sawtell",25.35,153.108782,-30.375104
"198",2023-02-08 23:59:53,"Sawtell",25.39,153.108782,-30.375104
"199",2023-02-09 00:09:53,"Sawtell",25.35,153.108782,-30.375104
"200",2023-02-09 00:19:53,"Sawtell",25.35,153.108782,-30.375104
"201",2023-02-09 00:29:53,"Sawtell",25.35,153.108782,-30.375104
"202",2023-02-09 00:39:53,"Sawtell",25.35,153.108782,-30.375104
"203",2023-02-09 00:49:53,"Sawtell",25.31,153.108782,-30.375104
"204",2023-02-09 00:59:53,"Sawtell",25.35,153.108782,-30.375104
"205",2023-02-09 01:09:53,"Sawtell",25.39,153.108782,-30.375104
"206",2023-02-09 01:19:53,"Sawtell",25.35,153.108782,-30.375104
"207",2023-02-09 01:29:53,"Sawtell",25.31,153.108782,-30.375104
"208",2023-02-09 01:39:53,"Sawtell",25.31,153.108782,-30.375104
"209",2023-02-09 01:49:53,"Sawtell",25.35,153.108782,-30.375104
"210",2023-02-09 01:59:53,"Sawtell",25.35,153.108782,-30.375104
"211",2023-02-09 02:09:53,"Sawtell",25.31,153.108782,-30.375104
"212",2023-02-09 02:19:53,"Sawtell",25.35,153.108782,-30.375104
"213",2023-02-09 02:29:53,"Sawtell",25.35,153.108782,-30.375104
"214",2023-02-09 02:39:53,"Sawtell",25.31,153.108782,-30.375104
"215",2023-02-09 02:49:53,"Sawtell",25.31,153.108782,-30.375104
"216",2023-02-09 02:59:53,"Sawtell",25.31,153.108782,-30.375104
"217",2023-02-09 03:09:53,"Sawtell",25.27,153.108782,-30.375104
"218",2023-02-09 03:19:53,"Sawtell",25.27,153.108782,-30.375104
"219",2023-02-09 03:29:53,"Sawtell",25.18,153.108782,-30.375104
"220",2023-02-09 03:39:53,"Sawtell",25.18,153.108782,-30.375104
"221",2023-02-09 03:49:53,"Sawtell",25.18,153.108782,-30.375104
"222",2023-02-09 03:59:53,"Sawtell",25.18,153.108782,-30.375104
"223",2023-02-09 04:09:53,"Sawtell",25.18,153.108782,-30.375104
"224",2023-02-09 04:19:53,"Sawtell",25.18,153.108782,-30.375104
"225",2023-02-09 04:29:53,"Sawtell",25.14,153.108782,-30.375104
"226",2023-02-09 04:39:53,"Sawtell",25.18,153.108782,-30.375104
"227",2023-02-09 04:49:53,"Sawtell",25.18,153.108782,-30.375104
"228",2023-02-09 04:59:53,"Sawtell",25.18,153.108782,-30.375104
"229",2023-02-09 05:09:53,"Sawtell",25.18,153.108782,-30.375104
"230",2023-02-09 05:19:53,"Sawtell",25.18,153.108782,-30.375104
"231",2023-02-09 05:29:53,"Sawtell",25.22,153.108782,-30.375104
"232",2023-02-09 05:39:53,"Sawtell",25.18,153.108782,-30.375104
"233",2023-02-09 05:49:53,"Sawtell",25.18,153.108782,-30.375104
